season,composite_aggression_mean,composite_aggression_std,coach_count,fourth_down_aggression,pass_heavy_aggression,deep_pass_aggression,two_point_aggression
2006,-0.008481588222638647,0.01366679474001831,32,-0.008941561308469612,-0.009144782366702369,0.0011185244144049779,-0.01695853362978759
2007,-0.0024983309816437216,0.013788151867753224,33,-0.003912459205203442,0.0059594848093215795,-0.003053253245624621,-0.008987096285068347
2008,-0.006103513279017791,0.014262776780152326,35,-0.006417477804570951,-0.0010851280698391033,-0.0020099883831030106,-0.014901458858558146
2009,-0.0031276657712515517,0.013588751729150344,33,-0.004123999805070722,0.0027711069588504797,-0.002359017312496824,-0.00879875292628911
2010,-0.0032506839313401694,0.01984906054601046,36,-0.01018176236147849,0.01016983574334842,0.0092777473098572,-0.022268556417087786
2011,0.0008440016703015342,0.01456452855718139,35,-0.011287001311017144,0.010076699043687243,0.02001564532983279,-0.015429336381296723
2012,-0.0005405184106334638,0.011982243898302625,33,-0.019075226860759107,0.022188622205432707,0.01289542089420105,-0.018170889881408497
2013,0.002347628026128512,0.015554991254513859,33,-0.015738404364572765,0.02553977563017602,0.013145724099661303,-0.013556583260750491
2014,0.0002087196754627393,0.015106553170626992,33,-0.013468841138275544,0.028671091269267826,0.006205171084308191,-0.020572542513449397
2015,0.006266928280764742,0.02024223670562449,33,-0.01064817073773594,0.03346887076961605,-0.00038116200690922416,0.002628175098088152
2016,0.00691830390630332,0.01577308902228517,34,-0.0076481589002653375,0.0319183898167817,0.009098403466830721,-0.005695418758133751
2017,0.003112074784849317,0.015534312946289713,33,-0.007148064289167047,0.019648185079266023,0.001205581034553579,-0.0012574026852552966
2018,0.014681470726316138,0.020640466634712824,34,0.002645884009361877,0.03684975422733334,-0.0007514766377821382,0.01998172130635153
2019,0.0146760760742137,0.01719814809373002,33,0.007710972660389233,0.03187029934145174,0.0019104092507760638,0.01721262304423786
2020,0.011759075301464406,0.01926890449350964,35,0.009612836343120481,0.034324390787470384,-0.006619622767266366,0.009718696842533197
2021,0.016325904495294613,0.017931733725066068,34,0.02607325520052053,0.03332388361173319,-0.013427745176823025,0.019334224345747882
2022,0.00957659323299844,0.018735399118459787,35,0.015414934403816648,0.017648301237381793,-0.012682084165213414,0.01792522145600877
2023,0.01694377516372862,0.015594904911738157,35,0.024362387273387104,0.030670839842885256,-0.008906930248146547,0.021648803786788733
2024,0.01737001000014838,0.014796357900275045,32,0.029595165408681765,0.023579891548920002,-0.008167077738316141,0.024472060781307967
