category,test,p,p_source,rank,bh_threshold,sig_raw,sig_bh
Coach Type (Defensive Agg.),Offensive: defensive aggression,0.048,clustered,70,0.02916666666666667,True,False
Era Analysis,Late (2018-2024): pass_heavy,0.0494754634206985,naive,71,0.029583333333333336,True,False
Persistence Defensive,deep_pass_aggression Lag 2,0.057,wild_cluster,72,0.03,False,False
Era Analysis,Middle (2012-2017): composite,0.05893779909827508,naive,73,0.030416666666666665,False,False
Temporal Trend,Early (2006-2011) vs Middle (2012-2017) (t-test),0.06534988403415087,naive,74,0.030833333333333338,False,False
Mentor WAR -> Protege WAR,Overall,0.074,clustered,75,0.03125,False,False
Persistence Defensive,fourth_down_aggression Lag 2,0.078,wild_cluster,76,0.03166666666666667,False,False
Gene-WAR,Shotgun Formation,0.087,clustered,77,0.03208333333333334,False,False
Shotgun Inheritance: Offensive Mentors,shotgun,0.1,clustered,78,0.0325,False,False
Coach Type by Era,Offensive Late (2018-2024),0.10012982257254727,naive,79,0.03291666666666667,False,False
Inheritance: Protege DC,pass_heavy,0.104,clustered,80,0.03333333333333333,False,False
Coach Type by Era,Defensive Early (2006-2011),0.10785118636180262,naive,81,0.03375,False,False
Inheritance: Protege DC,deep_pass,0.128,clustered,82,0.03416666666666667,False,False
Era Analysis,Late (2018-2024): composite,0.13207839442161012,naive,83,0.034583333333333334,False,False
Inheritance: Offensive Mentors,pass_heavy,0.158,clustered,84,0.034999999999999996,False,False
Two-Way Fixed Effects,Middle (2012-2017),0.16029964288408927,naive,85,0.03541666666666667,False,False
Inheritance: Overall,deep_pass,0.172,clustered,86,0.035833333333333335,False,False
Coordinator-to-HC Transmission,tempo,0.206,clustered,87,0.03625,False,False
Inheritance: Defensive Mentors,deep_pass,0.2165,wild_cluster,88,0.03666666666666667,False,False
Temporal Robustness,Aggression x Year interaction,0.237188253383537,naive,89,0.037083333333333336,False,False
Inheritance: Defensive Mentors,two_point,0.242,wild_cluster,90,0.037500000000000006,False,False
Inheritance: Overall,pass_heavy,0.265,clustered,91,0.03791666666666667,False,False
Overall WAR,Deep Pass Aggression,0.309,clustered,92,0.03833333333333334,False,False
Inheritance: Offensive Mentors,fourth_down,0.334,clustered,93,0.03875000000000001,False,False
Coordinator-to-HC Transmission,aggression,0.349,clustered,94,0.03916666666666667,False,False
Overall WAR,4th Down Aggression,0.376,clustered,95,0.03958333333333333,False,False
Inheritance: Defensive Mentors,fourth_down,0.3795,wild_cluster,96,0.04000000000000001,False,False
Inheritance: Defensive Mentors,composite,0.3925,wild_cluster,97,0.04041666666666667,False,False
Inheritance: Protege DC,fourth_down,0.405,clustered,98,0.04083333333333333,False,False
Inheritance: Offensive Mentors,composite,0.438,clustered,99,0.04125,False,False
Inheritance: Protege OC,deep_pass,0.438,clustered,100,0.04166666666666667,False,False
Mentor WAR -> Protege WAR,Offensive Coordinator,0.45,clustered,101,0.042083333333333334,False,False
Shotgun Inheritance: Defensive Mentors,shotgun,0.486,wild_cluster,102,0.0425,False,False
Inheritance: Defensive Mentors,pass_heavy,0.516,wild_cluster,103,0.042916666666666665,False,False
Inheritance: Protege OC,composite,0.524,clustered,104,0.043333333333333335,False,False
Inheritance: Offensive Mentors,two_point,0.547,clustered,105,0.043750000000000004,False,False
Gene-WAR,Composite Tempo,0.583,clustered,106,0.04416666666666667,False,False
Inheritance: Protege DC,two_point,0.677,clustered,107,0.044583333333333336,False,False
Inheritance: Protege OC,pass_heavy,0.683,clustered,108,0.045000000000000005,False,False
Inheritance: Overall,fourth_down,0.708,clustered,109,0.04541666666666667,False,False
Overall WAR,2-Point Aggression,0.747,clustered,110,0.04583333333333334,False,False
Inheritance: Overall,composite,0.772,clustered,111,0.046250000000000006,False,False
Coach Type (Defensive Agg.),Defensive: defensive aggression,0.775,wild_cluster,112,0.04666666666666667,False,False
Inheritance: Overall,two_point,0.798,clustered,113,0.04708333333333334,False,False
Shotgun Inheritance: Protege DC,shotgun,0.869,clustered,114,0.0475,False,False
Coach Type by Era,Offensive Middle (2012-2017),0.9035374110376319,naive,115,0.04791666666666667,False,False
Inheritance: Protege OC,fourth_down,0.904,clustered,116,0.04833333333333334,False,False
Inheritance: Protege DC,composite,0.912,clustered,117,0.04875,False,False
Inheritance: Protege OC,two_point,0.921,clustered,118,0.049166666666666664,False,False
Coach Type by Era,Defensive Late (2018-2024),0.9496927305285958,naive,119,0.04958333333333334,False,False
Inheritance: Offensive Mentors,deep_pass,0.969,clustered,120,0.05,False,False
