coach_id,coach_name,first_hc_year,n_hc_seasons_tree,repro_fitness,offspring,coach_canon,career_mean_war,career_total_war,n_hc_seasons,gene_aggression,gene_shotgun,gene_tempo,gene_defensive_scheme
sam_wyche,Sam Wyche,1984,12,5,Bruce Coslet; David Culley; David Shula; Dick LeBeau; Mike Mularkey,sam wyche,0.009017986591656993,0.10821583909988391,12.0,,,,
butch_davis,Butch Davis,2001,4,4,Bruce Arians; Chuck Pagano; Rob Chudzinski; Todd Bowles,butch davis,-0.065432342839241,-0.261729371356964,4.0,,,,
bum_phillips,Bum Phillips,1975,11,4,Ed Biles; Joe Bugel; Richie Petitbon; Wade Phillips,bum phillips,0.07237114054506472,0.7960825459957119,11.0,,,,
mike_ditka,Mike Ditka,1982,14,4,Buddy Ryan; Dave McGinnis; Hank Kuhlmann; Vince Tobin,mike ditka,0.015220599879537307,0.2130883983135223,14.0,,,,
mike_mccarthy,Mike McCarthy,2006,18,4,Ben McAdoo; Brian Schottenheimer; Joe Philbin; Kellen Moore,mike mccarthy,0.017725952006710892,0.31906713612079607,18.0,0.6071150652206992,0.21566573304320744,0.4803682560802265,0.6436516434474231
buddy_ryan,Buddy Ryan,1986,7,4,Jeff Fisher; Rex Ryan; Rich Kotite; Wade Phillips,buddy ryan,-0.025307965551103855,-0.177155758857727,7.0,,,,
eric_mangini,Eric Mangini,2006,5,4,Brian Daboll; Brian Schottenheimer; Dan Quinn; Matt Eberflus,eric mangini,-0.03905195593833924,-0.1952597796916962,5.0,-0.8809687850223027,-0.4761557860105664,0.9121797406279647,
frank_kush,Frank Kush,1982,3,4,Bud Carson; Gunther Cunningham; Hal Hunter; Rick Venturi,frank kush,-0.03217796053886413,-0.0965338816165924,3.0,,,,
tommy_prothro,Tommy Prothro,1971,7,4,Bill Walsh; Dick Vermeil; Ray Perkins; Rich Brooks,tommy prothro,-0.0232509459768023,-0.1627566218376161,7.0,,,,
john_madden,John Madden,1970,9,4,John Robinson; Mike Holovak; Ray Malavasi; Tom Flores,john madden,0.1298319693671332,1.168487724304199,9.0,,,,
sean_payton,Sean Payton,2006,18,4,Aaron Glenn; Dan Campbell; Dennis Allen; Doug Marrone,sean payton,0.04831320731499616,0.8213245243549346,17.0,0.03146503939361373,-0.4442476300282636,-0.3391274503600857,0.6259745628860574
romeo_crennel,Romeo Crennel,2005,5,4,Anthony Lynn; Brian Daboll; Nick Sirianni; Rob Chudzinski,romeo crennel,-0.10478110313415523,-0.5239055156707761,5.0,-1.0303044435328512,-0.8598889731063629,-0.44683633631203007,0.3556476087265158
jeff_fisher,Jeff Fisher,1995,21,4,Brian Schottenheimer; Gregg Williams; Jim Schwartz; Mike Munchak,jeff fisher,0.009230402889705839,0.19383846068382263,21.0,-0.6096981044654224,-0.6730833724415356,-0.47301120700560484,0.7479546460027491
bobby_ross,Bobby Ross,1992,9,4,Gary Moeller; Jim Zorn; John Fox; Marc Trestman,bobby ross,0.008995534377627899,0.08095980939865109,9.0,,,,
al_groh,Al Groh,2000,1,4,Ken Whisenhunt; Mike Nolan; Todd Bowles; Todd Haley,al groh,0.093655526638031,0.093655526638031,1.0,,,,
pete_carroll,Pete Carroll,1994,19,4,Brian Schottenheimer; Dan Quinn; Dave Canales; Gus Bradley,pete carroll,0.02961010896099936,0.5329819612979885,18.0,-0.0032919687957697935,0.4805510625421912,0.11250821838127648,-0.3035496517028447
wade_phillips,Wade Phillips,1993,9,4,Jason Garrett; Jim Fassel; Todd Bowles; Tony Sparano,wade phillips,-0.010043902529610535,-0.0903951227664948,9.0,-0.3958683780398539,-0.683020857186494,-0.6788707216423653,
mike_nolan,Mike Nolan,2005,4,4,Jim Tomsula; Mike McCarthy; Mike Singletary; Vance Joseph,mike nolan,-0.11597262157201763,-0.4638904862880705,4.0,-0.7907781936316476,-1.9334744939373945,-1.0897184151179602,
lou_saban,Lou Saban,1970,7,3,Dick MacPherson; Jim Ringo; Sam Rutigliano,lou saban,0.04513729852267674,0.3159610896587372,7.0,,,,
marv_levy,Marv Levy,1978,17,3,Bobby Ross; Frank Gansz; Rod Rust,marv levy,0.020685832202434525,0.3309733152389524,16.0,,,,
frank_reich,Frank Reich,2018,6,3,Jonathan Gannon; Matt Eberflus; Nick Sirianni,frank reich,-0.0378957004626592,-0.22737420277595521,6.0,0.032553440778056476,0.9242608315545294,-0.05040604129548714,-1.1894581171922063
