offensive_coach,actual_shotgun,predicted_shotgun_rate,total_plays,shotgun_gene,first_year,last_year,teams,shotgun_gene_zscore
Shane Steichen,0.8967314069161535,0.66875625,2111,0.22797516034938103,2023,2024,IND,2.378351588865741
Mike Macdonald,0.7783251231527094,0.5933995,1015,0.1849255984639887,2024,2024,SEA,2.0039740099266052
Nick Sirianni,0.8853891485470433,0.7201553,4921,0.16523384983717393,2021,2024,PHI,1.8327260609785698
Matt Nagy,0.7228686772738067,0.5688844,4211,0.15398430456262502,2018,2021,CHI,1.7348951577219007
Matt Eberflus,0.7215799614643545,0.57031614,3114,0.15126382558102325,2022,2024,CHI,1.7112366977961455
Brian Callahan,0.7368421052631579,0.5862945,1026,0.15054763304559804,2024,2024,TEN,1.705008378256435
Kliff Kingsbury,0.9093419236079153,0.7588531,4346,0.15048884571942656,2019,2022,ARI,1.7044971382837035
Chip Kelly,0.9062203228869895,0.7608377,4212,0.14538264874605933,2013,2016,"PHI, SF",1.6600914445494723
Antonio Pierce,0.6782115869017632,0.55329335,1588,0.12491823954305958,2023,2024,LV,1.4821241055964016
Ron Rivera,0.7235475320581704,0.60173404,13959,0.12181348989050678,2011,2023,"CAR, WAS",1.4551238619881328
Jeff Saturday,0.7256461232604374,0.61319906,503,0.11244706806558269,2022,2022,IND,1.3736694133813603
Arthur Smith,0.6890263757733637,0.58130044,3071,0.10772593832295474,2021,2023,ATL,1.3326124305575155
Robert Saleh,0.6881642512077295,0.58118135,4140,0.1069829038375818,2021,2024,NYJ,1.3261506818307163
Brian Daboll,0.7011599511599511,0.59648025,3276,0.10467970080136957,2022,2024,NYG,1.3061210337056561
Zac Taylor,0.7638659251465504,0.66070986,6653,0.10315606720587656,2019,2024,CIN,1.2928708580548662
Brian Flores,0.7873990306946688,0.6859893,3095,0.10140971041650104,2019,2021,MIA,1.2776837853382872
Doug Pederson,0.7505882352941177,0.656252,8925,0.0943362087361953,2016,2024,"JAX, PHI",1.2161695603911258
